ID,ICAO,TYPE,AIRPORT_NAME,LAT,LNG,CONTINENT_CODE,CONTINENT,COUNTRY_CODE,COUNTRY,CITY,IATA
4650,03N,small_airport,우티리크 공항,11.222219,169.851429,OC,오세아니아,MH,마셜 제도,Utirik Island,UTK
7063,0AK,small_airport,파일럿 스테이션 공항,61.934601,-162.899994,NA,북아메리카,US,미국,Pilot Station,PQS
7977,16A,small_airport,누나피추크 공항,60.905591,-162.440454,NA,북아메리카,US,미국,Nunapitchuk,NUP
8159,19P,seaplane_base,포트 프로텍션 공항,56.3288002,-133.6100006,NA,북아메리카,US,미국,Port Protection,PPV
10309,38WA,small_airport,Blakely Island Airport,48.578999,-122.825996,NA,북아메리카,US,미국,Blakely Island,BYW
11318,4A2,small_airport,아트마우트락 공항,60.866699,-162.272996,NA,북아메리카,US,미국,Atmautluak,ATT
11487,4K5,small_airport,우진키에 해상 비행기장,57.942094,-152.464314,NA,북아메리카,US,미국,Ouzinkie,KOZ
11820,4Z7,seaplane_base,하이더 해면 기지,55.903324,-130.009975,NA,북아메리카,US,미국,Hyder,WHD
12243,5A8,medium_airport,알레크나기크 공항,59.2826004,-158.6179962,NA,북아메리카,US,미국,Aleknagik,WKK
12429,5KE,seaplane_base,Ketchikan Harbor Seaplane Base,55.349899,-131.677002,NA,북아메리카,US,미국,Ketchikan,WFB
13405,6N5,heliport,East 34th Street Heliport,40.74259949,-73.9720993,NA,북아메리카,US,미국,New York,TSS
13407,6N7,seaplane_base,New York Skyports Inc Seaplane Base,40.735061,-73.972814,NA,북아메리카,US,미국,New York,NYS
14173,7KA,small_airport,타티틀렉 공항,60.871449,-146.690297,NA,북아메리카,US,미국,Tatitlek,TEK
15640,9A3,small_airport,휴스톤 카운티 공항,61.579102,-159.216003,NA,북아메리카,US,미국,Chuathbaluk,CHU
16069,9Z8,small_airport,레벨록 공항,59.12606,-156.860906,NA,북아메리카,US,미국,Levelock,KLL
16089,A79,small_airport,칙닉 레이크 공항,56.25500107,-158.7749939,NA,북아메리카,US,미국,Chignik Lake,KCQ
