carrierName,carrierCode
21 에어,2I
40마일 에어,Q5
748 항공서비스,FE
9 에어,AQ
AB 항공,Y6
아바빌항공,BBE
아베르데어 에비에이션,BDV
Abs 제트,ABP
ABX 에어,GB
어드밴스드 에어,AN
에게안항공,A3
페루에어카리브,EF
에어링거스,EI
에어카리베,JK
아에로 류타 마야,MMG
에레오투이,L4
에어라 나이지리아,N2
에어로 딜리,8G
에어로 K,RF
에어로몽골,M0
에어로 노마드,KA
에어로 오웬,OWN
ASESA 전문 항공 서비스,SVE
ATSA 페루,4A
에어로벨항공,GAB
에어로 브라츠크,BRP
에어로카달,CDA
에어로카리베 온두라스,HAS
에어로데시에르토 SA,DTO
아에레로에스테 ,ROE
아에로플로트,SU
아에로가비오타,GTV
에어리탈리아,XZ
아르헨티나항공,AR
SOSA 항공,S0
에어로로직,3S
에어로메트,ARS
아에로 멕시코,AM
아에로멕시코 커넥트,5D
에어로나베스 페루나스 에어카고,WPL
에어로나버스 TSM,VTM
에어로 포스탈 베네수엘라,ALV
에어로리저널항공,RER
에어로스페이스 콘소시엄,AKQ
에어로스탄,KW
에어로슈어 콜롬비아,KRE
에어로슬,ASO
에어로택시,CNI
아에로탁시 아베테,E4
항공 운송 화물,F5
아에로투칸,RTU
아에로 유니온,6R
에어로비아스 DAP,V5
에어로비스항공사,VIZ
에어루스,ZV
아프리카 i터,FSK
아프리카 월드 항공,AW
아프리카 익스프레스 에어웨이,XU
아프리카의 연결 STP,ACH
아프리제트비즈니스서비스,J7
아프리키야 항공,8U
에어 알바니아,ZB
에어알제리,AH
에어 알리제,RLZ
에어 알시,6I
에어 앙카,TZ
에어 안틸레스,3S
에어 아라비아,G9
에어 아라비아 아부다비,3L
에어 아라비아 이집트,E5
에어 아라비아 모로코,3O
에어 아쉬펠,RHL
에어아스타나,KC
에어 아스트라,2A
애틀랜타,CC
에어오스트랄,UU
에어바간,JAB
에어 벨기에,KF
에어 보레알리스,LBR
보츠와나항공,BP
에어부르키나,2J
에어부산,BX
에어카이로,SM
에어 칼레도니,TY
에어캐나다,AC
에어캐나다 루즈,RV
에어 카라이베스,TX
에어 카고캐리어,2Q
에어 센츄리 ,Y2
장안항공,9H
에어 차트마스,3C
중국국제항공,CA
중국국제항공화물,CA
에어초이스원,3E
에어 클래스 카고,QCL
에어 코시카,XK
에어코스타리카,RI
에어 코트디부아르,HF
에어 코트 디 부아르,YN
에어 딜리얀스,RM
에어 지부티,DJ
에어 두,HD
에어돌로미티,EN
에어 이글,EGA
에어 유로파 익스프레스,X5
에어 유로파 라인아스 에어레아스,UX
에어엑셀,XLL
에어익스커션,X4
에어팔콘,FS
에어플라맹고,F4
에어프랑스,AF
에어가나,GHN
에어그린란드,GL
에어 구이린,GT
에어홍콩,LD
에어호라이즌,HT
에어 아이슬란드 커넥트,NY
에어 인천,KJ
인도항공,AI
에어인디아익스프레스,IX
에어 인더스,MPK
에어 인뉴이트,3H
에어저펜,NQ
에어후한,AO
에어 KBZ,K7
키리바시,IK
고려항공,JS
에어 리에이존,LSJ
에어리비아,7I
에어링크 익스큐티브 서비스,LZ
에어 로와요떼,RLY
에어마카오,NX
마다가스카르항공,MD
에어 마조로,MJP
에어 말타,KM
에어마냐스,ZM
에어마셜아일랜드,CWM
모리셔스항공,MK
에어 메디티라아난,MV
에어 몬테네그로,MNE
에어 마운틴,AMT
뉴질랜드항공,NZ
뉴기니항공,PX
"에어 노스, 유콘 항공",4N
에어원나인,N6
에어팩익스프레스,PCK
에어 파나마,7P
에어 피스,P4
에어프레미아,YP
에어 라로통가,GZ
에어 사파리 & 서비스(NZ),SRI
에어 생피에르,PJ
에어 세네갈,HC
에어서울,RS
에어 세르비아,JU
에어세이쉘,HM
에어시알,PF
에어시나이,4D
에어 선샤인,YI
에어 타히티 ,VT
에어타히티누이,TN
탄자니아항공,TC
에어택시 인디아,FAT
양곤 항공,YH
에어 틴디,8T
에어트란삿,TS
에어 트랜스포트 유럽,EAT
에어트래블,A6
에어 우르가,3N
바누아투항공,NF
에어 웨스트 카고,AWZ
에어 위스콘신,ZW
짐바브웨항공,UM
마이카고항공,9T
에어아시아,AK
에어아시아 인디아,I5
에어아시아 엑스,D7
에어발틱,BT
에어블루,PA
에어브리지카고,RU
에어버스 국제운송,4Y
에어칼린,SB
에어컴퍼니 ATMA,IM
메리디안 에어컴퍼니,MEM
로사비아 에어컴퍼니,URA
에어레스트,AEG
에어익스플로어,ED
에어패스트 인도네시아,AFE
에어지오스카이,D4
에어글로우 에비에이션 서비스,GL
에어허버항공,AH
에어케냐,P2
에어리프트 알래스카,K2
태즈메이니아항공,ATM
에어링크 남아공,4Z
에어맥스 화물,X8
에어넷 II,USC
에어노스리지널,TL
에어스위프트,T6
에어택시 유럽,TZ
에어택시 수단,WAM
에어워크,AWK
에어엑스 전세항공,AXY
AIS 항공,PNX
아카사 항공,QP
알래스카 항공 교통,JN
알래스카항공,AS
알래스카 센트랄 익스프레스,KO
알래스카 시플레인서비스,J5
알바스타,AP
알바트로스 항공,G0
알바윙스,2B
알류샨 항공,VC
알렉산드리아 항공사,DQ
알파 항공,AAJ
알리다우니아,D4
전일본공수(ANA),NH
알레지안스 에어,ANJ
엘리지언트 에어,G4
얼라이언스에어(인도),9I
알리앙스 항공,QQ
알리앙스 항공,3A
얼라이드 에어,4W
알마스리아 유니버셜 항공,UJ
알 나제르 항공,MHK
알로하 항공 화물,KH
알록에어,LOK
알파인 에어 익스프레스,5A
알로사항공,6R
ALS 리미티드,K4
